index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
28778,52521,경상남도 사천시 옥산로 54,176.11,176.11,176.11,190.92,176.11
28779,52522,경상남도 사천시 옥산로 128,177.24,177.24,177.24,192.04,177.24
28780,52523,경상남도 사천시 한실길 32,179.42,179.42,179.42,194.23,179.42
28781,52524,경상남도 사천시 진삼로 1218,178.94,178.94,178.94,193.74,178.94
28782,52525,경상남도 사천시 감곡길 237,182.72,182.72,182.72,197.53,182.72
28783,52526,경상남도 사천시 유천길 248,177.27,177.27,177.28,192.07,177.28
28784,52527,경상남도 사천시 항공로 127,176.78,176.78,176.78,191.58,176.78
28785,52528,경상남도 사천시 유천길 89,176.96,176.96,176.96,191.76,176.96
28786,52529,경상남도 사천시 공단1로 78,177.61,177.61,177.61,192.41,177.61
28787,52530,경상남도 사천시 외국기업로 152,179.94,179.94,179.94,194.74,179.94
28788,52531,경상남도 사천시 공단1로 23,178.51,178.51,178.51,193.31,178.51
28789,52532,경상남도 사천시 진삼로 1259,177.35,177.35,177.35,192.15,177.35
