index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
29538,54142,전북특별자치도 군산시 한밭안길 9,202.48,206.37,202.48,215.27,206.37
29539,54143,전북특별자치도 군산시 하나운로 17,204.22,204.22,203.01,215.8,204.22
29540,54144,전북특별자치도 군산시 의료원로 146,198.66,203.64,198.66,239.63,203.64
29541,54145,전북특별자치도 군산시 백토로 250,204.9,204.9,203.69,216.47,204.9
29542,54146,전북특별자치도 군산시 백토로 284,198.13,203.11,198.13,239.1,203.11
29543,54147,전북특별자치도 군산시 부곡1길 39,202.43,206.25,202.43,215.22,206.25
29544,54148,전북특별자치도 군산시 부곡로 99,202.22,206.54,202.22,215.01,206.54
29545,54149,전북특별자치도 군산시 칠성3길 5,202.69,206.49,202.69,215.48,206.49
29546,54150,전북특별자치도 군산시 원당길 73,203.43,206.39,203.43,216.21,206.39
29547,54151,전북특별자치도 군산시 미제2길 20,204.59,221.45,204.59,240.57,221.45
29548,54152,전북특별자치도 군산시 은파순환길 174,205.07,205.07,205.07,241.06,205.07
29549,54153,전북특별자치도 군산시 황룡로 108,205.01,205.01,205.01,241.0,205.01
29550,54154,전북특별자치도 군산시 미룡로 24,199.19,204.16,199.19,240.15,204.16
29551,54155,전북특별자치도 군산시 미룡로 45,204.43,204.43,204.43,240.42,204.43
29552,54156,전북특별자치도 군산시 황룡1길 12,204.27,204.27,204.27,240.25,204.27
29553,54157,전북특별자치도 군산시 개사안2길 13,205.77,205.77,205.77,241.76,205.77
29554,54158,전북특별자치도 군산시 내초로 36,212.7,229.57,212.7,221.71,221.71
29555,54159,전북특별자치도 군산시 공항로 520,204.37,207.76,204.37,217.16,207.76
29556,54160,전북특별자치도 군산시 외항로 17,193.62,201.12,201.12,216.8,201.12
29557,54161,전북특별자치도 군산시 산북로 40,202.51,207.28,202.51,215.29,207.28
29558,54162,전북특별자치도 군산시 산북로 142,193.79,207.89,201.3,226.78,207.89
29559,54163,전북특별자치도 군산시 소룡안1길 51,193.75,207.66,201.25,226.73,207.66
29560,54164,전북특별자치도 군산시 동아로 146,193.75,206.03,201.25,226.73,206.03
29561,54165,전북특별자치도 군산시 동아로 109,194.15,206.43,201.65,227.13,206.43
29562,54166,전북특별자치도 군산시 칠성2길 100,194.03,207.43,201.53,227.0,207.43
29563,54167,전북특별자치도 군산시 갈마안2길 13,203.67,208.3,203.67,216.45,208.3
29564,54168,전북특별자치도 군산시 거사길 17,207.59,207.59,207.59,218.27,207.59
29565,54169,전북특별자치도 군산시 신흥둑길 89,202.92,208.08,202.92,218.75,208.08
29566,54170,전북특별자치도 군산시 남군산로 1685,210.43,210.43,210.43,246.42,210.43
29567,54171,전북특별자치도 군산시 옥구로 98,206.73,206.73,206.73,242.71,206.73
29568,54172,전북특별자치도 군산시 할미로 82,204.86,204.86,204.86,240.85,204.86
29569,54173,전북특별자치도 군산시 하포로 180,195.49,200.47,195.49,236.46,200.47
29570,54174,전북특별자치도 군산시 옥산로 154,192.65,198.86,192.65,233.62,198.86
29571,54175,전북특별자치도 군산시 흑석길 48,191.49,200.81,191.49,232.46,200.81
29572,54176,전북특별자치도 군산시 옥흥길 3,192.13,196.03,192.13,233.09,196.03
29573,54177,전북특별자치도 군산시 옥흥길 36,191.18,200.43,191.18,232.15,200.43
29574,54178,전북특별자치도 군산시 지경1길 228,195.4,195.4,195.4,232.32,195.4
29575,54179,전북특별자치도 군산시 상평로 408,196.2,201.18,196.2,237.16,201.18
29576,54300,전북특별자치도 김제시 남고로 167,212.61,214.84,212.61,244.84,214.84
29577,54301,전북특별자치도 김제시 광활10길 130,214.16,241.88,214.16,253.12,241.88
29578,54302,전북특별자치도 김제시 옥포2길 83,213.14,232.24,213.14,245.37,232.24
29579,54303,전북특별자치도 김제시 수내길 553,211.44,211.44,211.44,245.6,211.44
29580,54304,전북특별자치도 김제시 진봉로 222,209.56,209.56,209.56,246.75,209.56
29581,54305,전북특별자치도 김제시 고현길 113,210.05,210.05,210.05,246.23,210.05
29582,54306,전북특별자치도 김제시 몽포길 63,202.01,218.88,202.01,239.28,218.88
29583,54307,전북특별자치도 김제시 두내산로 37,204.18,221.04,204.18,242.99,221.04
29584,54308,전북특별자치도 김제시 신금2길 122,198.34,215.2,198.34,235.6,215.2
29585,54309,전북특별자치도 김제시 만경로 1484,198.14,215.01,198.14,235.41,215.01
29586,54310,전북특별자치도 김제시 송상리2길 39,201.09,217.95,201.09,238.35,217.95
29587,54311,전북특별자치도 김제시 청하5길 15,199.91,216.78,199.91,230.04,216.78
29588,54312,전북특별자치도 김제시 내죽길 91,202.69,219.56,202.69,233.61,219.56
29589,54313,전북특별자치도 김제시 능제로 254,202.29,219.15,202.29,241.1,219.15
29590,54314,전북특별자치도 김제시 점촌5길 63,205.63,222.49,205.63,239.74,222.49
29591,54315,전북특별자치도 김제시 대석로 125,208.91,208.91,208.91,242.0,208.91
29592,54316,전북특별자치도 김제시 지평선로 89,210.98,217.28,210.98,245.38,217.28
29593,54317,전북특별자치도 김제시 월현3길 136,207.28,212.65,207.28,229.71,212.65
29594,54318,전북특별자치도 김제시 조종2길 24,208.8,225.66,208.8,229.81,225.66
29595,54319,전북특별자치도 김제시 공덕8길 412,204.83,204.83,204.83,225.84,204.83
29596,54320,전북특별자치도 김제시 공덕8길 34,205.36,205.36,205.36,223.34,205.36
29597,54321,전북특별자치도 김제시 공덕8길 260,205.57,205.57,205.57,226.58,205.57
29598,54322,전북특별자치도 김제시 황상3길 107,207.98,207.98,207.98,229.0,207.98
29599,54323,전북특별자치도 김제시 소음방로 264,208.99,208.99,208.99,230.0,208.99
29600,54324,전북특별자치도 김제시 유강1길 144,206.53,206.53,206.53,227.54,206.53
29601,54325,전북특별자치도 김제시 백석로 371,204.78,221.65,204.78,231.99,221.65
29602,54326,전북특별자치도 김제시 옹기가마길 31,206.81,207.26,207.26,233.36,207.26
29603,54327,전북특별자치도 김제시 동계1길 139,206.1,206.1,206.1,224.08,206.1
29604,54328,전북특별자치도 김제시 번영로 2499,210.52,228.06,210.52,225.28,225.28
29605,54329,전북특별자치도 김제시 마산3길 15,212.51,229.38,212.51,227.55,227.55
29606,54330,전북특별자치도 김제시 석담3길 225,211.83,229.37,211.83,226.59,226.59
29607,54331,전북특별자치도 김제시 부용1길 94,209.4,209.4,209.4,227.73,209.4
29608,54332,전북특별자치도 김제시 거복길 110,210.68,210.68,210.68,229.83,210.68
29609,54333,전북특별자치도 김제시 영상5길 143,213.4,230.27,213.4,228.44,228.44
29610,54334,전북특별자치도 김제시 백자1길 43,218.44,228.84,218.44,230.53,228.84
29611,54335,전북특별자치도 김제시 반교3길 107,212.53,233.53,212.53,233.55,233.53
29612,54336,전북특별자치도 김제시 황토로 247,215.27,231.74,215.27,233.34,231.74
29613,54337,전북특별자치도 김제시 와룡1길 141,209.48,209.48,209.48,230.49,209.48
29614,54338,전북특별자치도 김제시 상사길 50,221.26,229.73,219.24,231.33,229.73
29615,54339,전북특별자치도 김제시 낙성2길 71,219.5,229.99,219.5,231.59,229.99
29616,54340,전북특별자치도 김제시 광현1길 84,220.41,230.91,220.41,237.49,230.91
29617,54341,전북특별자치도 김제시 대화2길 66,219.62,230.11,219.62,233.46,230.11
29618,54342,전북특별자치도 김제시 선암5길 38,224.15,234.65,224.15,239.81,234.65
29619,54343,전북특별자치도 김제시 모악10길 42,231.38,241.88,231.38,241.0,241.0
29620,54344,전북특별자치도 김제시 수류로 575,233.55,257.43,233.55,255.83,255.83
29621,54345,전북특별자치도 김제시 금평로 116,228.16,238.66,228.16,245.81,238.66
29622,54346,전북특별자치도 김제시 삼봉1길 76,227.12,237.61,227.12,243.79,237.61
29623,54347,전북특별자치도 김제시 모악로 166,228.57,239.07,228.57,245.72,239.07
29624,54348,전북특별자치도 김제시 원평로 13,227.93,238.43,227.93,245.69,238.43
29625,54349,전북특별자치도 김제시 금백로 2,219.83,230.33,219.83,237.17,230.33
29626,54350,전북특별자치도 김제시 봉두로 55,220.35,230.85,220.35,237.24,230.85
29627,54351,전북특별자치도 김제시 봉두2길 30,221.06,231.2,221.06,237.94,231.2
29628,54352,전북특별자치도 김제시 용홍로 160,214.61,235.09,214.61,234.97,234.97
29629,54353,전북특별자치도 김제시 용마로 508,219.5,232.53,219.5,239.12,232.53
29630,54354,전북특별자치도 김제시 남양2길 99,221.38,234.36,221.38,240.94,234.36
29631,54355,전북특별자치도 김제시 봉남로 596,217.69,239.57,217.69,244.14,239.57
29632,54356,전북특별자치도 김제시 동석길 27,217.56,241.15,217.56,245.94,241.15
29633,54357,전북특별자치도 김제시 봉남로 118,224.65,235.15,224.65,244.02,235.15
29634,54358,전북특별자치도 김제시 구정2길 69,229.27,239.67,229.27,246.39,239.67
29635,54359,전북특별자치도 김제시 신응1길 69,221.84,239.45,221.84,244.18,239.45
29636,54360,전북특별자치도 김제시 동석길 27,217.56,241.15,217.56,245.94,241.15
29637,54361,전북특별자치도 김제시 풍요로 115,212.83,229.7,212.83,236.3,229.7
29638,54362,전북특별자치도 김제시 풍요로 102,212.96,229.97,212.96,236.57,229.97
29639,54363,전북특별자치도 김제시 서정2길 105,216.7,233.57,216.7,245.09,233.57
29640,54364,전북특별자치도 김제시 만경로 85,206.31,223.17,206.31,237.57,223.17
29641,54365,전북특별자치도 김제시 하서3길 70,208.0,213.91,208.45,234.32,213.91
29642,54366,전북특별자치도 김제시 벽성로 505,211.5,228.36,211.5,234.45,228.36
29643,54367,전북특별자치도 김제시 아리랑로 1939,211.03,231.51,211.03,232.05,231.51
29644,54368,전북특별자치도 김제시 도작로 220,211.59,228.45,211.59,233.91,228.45
29645,54369,전북특별자치도 김제시 풍요로 25,212.28,229.15,212.28,235.75,229.15
29646,54370,전북특별자치도 김제시 복죽로 585,209.41,226.27,209.41,237.8,226.27
29647,54371,전북특별자치도 김제시 월죽로 977,209.67,226.54,209.67,238.06,226.54
29648,54372,전북특별자치도 김제시 서암2길 60,209.25,226.26,209.25,237.64,226.26
29649,54373,전북특별자치도 김제시 벽성로 432,209.06,225.93,209.06,237.45,225.93
29650,54374,전북특별자치도 김제시 남북로 298,210.12,226.99,210.12,233.27,226.99
29651,54375,전북특별자치도 김제시 도작로 163,210.75,227.61,210.75,233.65,227.61
29652,54376,전북특별자치도 김제시 도작로 122,211.14,228.01,211.14,234.04,228.01
29653,54377,전북특별자치도 김제시 요촌길 10,211.08,227.94,211.08,233.97,227.94
29654,54378,전북특별자치도 김제시 요촌길 7,211.09,227.95,211.09,233.99,227.95
29655,54379,전북특별자치도 김제시 요촌동1길 27,210.98,227.85,210.98,234.45,227.85
29656,54380,전북특별자치도 김제시 요촌북로 70,210.56,227.42,210.56,234.02,227.42
29657,54381,전북특별자치도 김제시 요촌중4길 140,210.71,227.58,210.71,234.18,227.58
29658,54382,전북특별자치도 김제시 요촌중1길 32,210.14,227.0,210.14,234.4,227.0
29659,54383,전북특별자치도 김제시 중앙로 85,209.91,226.78,209.91,234.36,226.78
29660,54384,전북특별자치도 김제시 요촌1길 18,209.71,226.57,209.71,234.05,226.57
29661,54385,전북특별자치도 김제시 동헌4길 46,209.51,226.35,209.51,237.9,226.35
29662,54386,전북특별자치도 김제시 서암3길 24,209.28,226.14,209.28,237.66,226.14
29663,54387,전북특별자치도 김제시 성산길 20,208.97,225.83,208.97,237.36,225.83
29664,54388,전북특별자치도 김제시 동서1길 37,209.75,226.62,209.75,238.14,226.62
29665,54389,전북특별자치도 김제시 동헌2길 49,209.75,226.93,209.75,238.14,226.93
29666,54390,전북특별자치도 김제시 동서6길 29,210.19,227.05,210.19,238.58,227.05
