postal_code,distance,duration_time
1309,180,0
1310,181,0
1311,187,0
1312,186,0
1313,181,0
1314,183,0
1315,183,0
1316,182,0
1317,183,0
1318,186,0
1319,179,0
1320,180,0
1321,180,0
1322,180,0
1323,181,0
1324,180,0
1325,181,0
1326,180,0
1327,180,0
1328,180,0
1329,180,0
1330,187,0
1331,187,0
1332,187,0
1333,182,0
1334,182,0
1335,187,0
1336,182,0
1337,182,0
1338,182,0
1339,188,0
1340,182,0
1341,187,0
1342,188,0
1343,187,0
1344,187,0
1345,187,0
1346,187,0
1347,187,0
1348,187,0
1349,186,0
1350,186,0
1351,187,0
1352,187,0
1353,187,0
1354,187,0
1355,187,0
1356,188,0
1357,188,0
1358,182,0
1359,183,0
1360,184,0
1361,183,0
1362,183,0
1363,183,0
1364,189,0
1365,190,0
1366,191,0
1367,190,0
1368,195,0
1369,196,0
1370,192,0
1371,190,0
1372,190,0
1373,189,0
1374,189,0
1375,189,0
1376,190,0
1377,190,0
1378,190,0
1379,189,0
1380,189,0
1381,189,0
1382,189,0
1383,188,0
1384,188,0
1385,188,0
1386,189,0
1387,189,0
1388,189,0
1389,188,0
1390,188,0
1391,187,0
1392,188,0
1393,188,0
1394,188,0
1395,182,0
1396,187,0
1397,188,0
1398,187,0
1399,188,0
1400,188,0
1401,188,0
1402,188,0
1403,188,0
1404,188,0
1405,189,0
1406,187,0
1407,187,0
1408,187,0
1409,187,0
1410,187,0
1411,187,0
1412,187,0
1413,188,0
1414,188,0
1415,188,0
1416,188,0
1417,183,0
1418,183,0
1419,174,0
1420,188,0
1421,175,0
1422,190,0
1423,190,0
1424,174,0
1425,175,0
1426,188,0
1427,190,0
1428,190,0
1429,189,0
1430,188,0
1431,188,0
1432,188,0
1433,189,0
1434,189,0
1435,189,0
1436,188,0
1437,189,0
1438,189,0
1439,189,0
1440,189,0
1441,189,0
1442,189,0
1443,189,0
1444,189,0
1445,190,0
1446,189,0
1447,189,0
1448,189,0
1449,189,0
1450,190,0
1451,190,0
1452,189,0
1453,183,0
1454,176,0
1455,176,0
1456,183,0
1457,176,0
1458,176,0
1459,183,0
1460,176,0
1461,184,0
1462,190,0
1463,176,0
1464,175,0
1465,176,0
1466,176,0
1467,176,0
1468,176,0
1469,175,0
1470,175,0
1471,176,0
1472,176,0
1473,176,0
1474,175,0
1475,176,0
1476,176,0
1477,193,0
1478,193,0
1479,192,0
1480,192,0
1481,192,0
1482,193,0
1483,182,0
1484,183,0
1485,184,0
1486,181,0
1487,182,0
1488,175,0
1489,174,0
1600,184,0
1601,184,0
1602,183,0
1603,184,0
1604,184,0
1605,185,0
1606,185,0
1607,184,0
1608,184,0
1609,184,0
1610,185,0
1611,185,0
1612,185,0
1613,185,0
1614,185,0
1615,185,0
1616,185,0
1617,185,0
1618,180,0
1619,186,0
1620,185,0
1621,184,0
1622,184,0
1623,184,0
1624,184,0
1625,184,0
1626,184,0
1627,185,0
1628,185,0
1629,185,0
